symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,pe,earningsAnnouncement,sharesOutstanding
AABPX,American Beacon Balanced Fund,11.84,1.3699,0.16,0.0,11.84,12.04,0.0,112717641.0,11.0294,,11.05035,0.0,0.0,,11.68,,,9520071.0
AACG,ATA Creativity Global,0.85,-7.266,-0.0666,0.85,0.91,2.49,0.8,26670382.0,0.9632,,1.3835,20632.0,5063.0,0.91,0.9166,-4.72,2023-11-13T00:00:00.000+0000,31376920.0
AACI,Armada Acquisition Corp. I,10.74,-0.2786,-0.03,10.74,10.78,12.2,8.56,86702409.0,10.72628,0.91,10.447065,2049.0,8149.0,10.76,10.77,-537.0,2023-03-31T00:00:00.000+0000,8072850.0
AACIU,Armada Acquisition Corp. I,10.7,-0.5576,-0.06,10.7,11.42,11.55,9.71,86702400.0,10.6962,10.76,10.41005,6.0,6.0,10.81,10.76,-52.70935960591133,2023-03-31T00:00:00.000+0000,8103028.0
AACIW,Armada Acquisition Corp. I,0.0161,-23.3333,-0.0049,0.0161,0.025,0.025,0.0161,138653.0,0.0,10.81,0.0,15800.0,0.0,0.02,0.021,,2023-03-31T00:00:00.000+0000,8612000.0
AACQU,Artius Acquisition Inc.,11.05,4.7393365,0.5,10.67,11.05,15.39,9.85,1581255000.0,10.558358,0.02,11.188068,4352.0,12570.0,10.67,10.55,0.0,,143100000.0
AADBX,American Beacon Balanced Fund R5 Class,14.51,1.3976,0.2,0.0,14.51,14.51,0.0,112748519.0,13.5158,10.67,13.52315,0.0,0.0,,14.31,,,7770401.0
AADI,"Aadi Bioscience, Inc.",5.37,0.1866,0.01,5.15,5.49,13.45,3.88,131704083.0,4.592,,6.357875,114535.0,112590.0,5.43,5.36,-2.31,2023-11-08T13:30:00.000+0000,24525900.0
AADR,AdvisorShares Dorsey Wright ADR ETF,55.64,0.4513,0.25,55.55,55.71,55.71,44.58,26179844.0,50.603,5.43,49.4927,1281.0,1161.0,55.71,55.39,13.15,,470522.0
AAFTX,American Funds 2035 Target Date Retirement Fund,17.82,0.7349,0.13,0.0,17.82,17.82,0.0,39302696943.0,16.682,55.71,16.56565,0.0,0.0,,17.69,,,2205538549.0
AAGPX,American Beacon Large Cap Value Fund Investor Class,23.57,1.3328,0.31,0.0,23.57,23.76,0.0,3195259460.0,21.841,,21.6056,0.0,0.0,,23.26,,,135564678.0
AAGTX,American Funds 2040 Target Date Retirement Fund Class A,18.7,0.7543,0.14,0.0,18.7,18.7,0.0,35705050569.0,17.441,,17.2669,0.0,0.0,,18.560001,,,1909360993.0
AAIEX,American Beacon International Equity Fund,18.99,1.334,0.25,0.0,18.99,18.99,0.0,919564088.0,17.6308,,17.82945,0.0,0.0,,18.74,,,48423596.0
AAIPX,American Beacon International Equity Fund Investor Class,18.78,1.3492,0.25,0.0,18.78,18.78,0.0,893415344.0,17.4446,,17.65775,0.0,0.0,,18.53,,,47572702.0
AAISX,American Beacon International Equity Fund Advisor Class,19.41,1.3577,0.26,0.0,19.41,19.41,0.0,905545270.0,18.024,,18.2518,0.0,0.0,,19.15,,,46653543.0
AAL,American Airlines Group Inc.,14.59,3.5486,0.5,14.275,14.65,19.08,10.86,9535148600.0,12.1978,,14.31645,42033809.0,36452255.0,14.3,14.09,6.1,2024-01-24T00:00:00.000+0000,653540000.0
AAME,Atlantic American Corporation,2.005,6.6489,0.125,1.98,2.0589,2.63,1.49,40906612.0,1.8336,14.3,2.04625,19025.0,4519.0,2.0,1.88,14.32,2023-11-13T00:00:00.000+0000,20402300.0
AANTX,American Funds 2060 Target Date Retirement Fund,15.99,0.8197,0.13,0.0,15.99,15.99,0.0,10326244125.0,14.8292,2,14.67385,0.0,0.0,,15.86,,,645793879.0
AAOI,"Applied Optoelectronics, Inc.",23.19,7.2618,1.57,21.6,23.68,23.68,1.6,824093754.0,11.2498,,7.355575,3932497.0,2354784.0,22.0,21.62,-11.04,2024-02-21T10:59:00.000+0000,35536600.0
AAON,"AAON, Inc.",71.23,5.7296,3.86,68.0,71.665,71.665,46.873333,5787074227.0,59.4786,22,62.10845,848391.0,381592.0,68.0,67.37,34.75,2024-02-26T00:00:00.000+0000,81244900.0
AAPB,GraniteShares ETF Trust - GraniteShares 2x Long Tilray Daily ETF,28.77,0.1741,0.05,28.31,29.15,30.16,14.25,4981036.0,25.35094,68,24.84259,18239.0,14515.0,28.76,28.72,,,173133.0
AAPD,Direxion Daily AAPL Bear 1X Shares,19.8,-0.0505,-0.01,19.65,19.9912,31.59,19.65,28870083.0,21.39338,28.76,22.15992,116560.0,203777.0,19.79,19.81,,,1458085.0
AAPL,Apple Inc.,198.11,0.0758,0.15,196.16,199.62,199.62,124.17,3081165208000.0,182.8454,19.79,177.0467,65862140.0,54692155.0,198.02,197.96,32.32,2024-01-31T10:59:00.000+0000,15552800000.0
AAPU,Direxion Daily AAPL Bull 1.5X Shares,28.97,0.2769,0.08,28.5901,29.2628,29.96,15.55,37775142.0,25.8367,198.02,25.303875,127538.0,120658.0,28.93,28.89,31.79,,1303940.0
AASCX,Thrivent Mid Cap Stock Fund Class A,28.8,0.9464,0.27,0.0,28.8,29.46,0.0,3914155584.0,26.477,28.93,27.15375,0.0,0.0,,28.529999,,,135908180.0
AATC,Autoscope Technologies Corporation,6.85,0.0,0.0,6.53,7.35,7.36,3.38,37252218.0,6.0886,,5.0157,27750.0,10709.0,6.62,6.85,12.23,2023-11-09T21:10:00.000+0000,5438280.0
AAWW,"Atlas Air Worldwide Holdings, Inc.",102.48,0.0195,0.02,102.47,102.5,102.5,58.7,2934330336.0,101.6372,6.62,94.7478,1527211.0,552884.0,102.48,102.46,9.732193732193732,2023-08-02T12:30:00.000+0000,28633200.0
AAXJ,iShares MSCI All Country Asia ex Japan ETF,66.29,1.3609,0.89,65.66,66.33,73.09,60.92,2441317315.0,64.0232,102.48,65.8449,1618707.0,573146.0,65.66,65.4,12.49,,36827837.0
ABALX,American Funds American Balanced Fund Class A,31.66,0.5718,0.18,0.0,31.66,31.66,0.0,202674438116.0,30.2112,65.66,30.0175,0.0,0.0,,31.48,,,6401593118.0
ABASX,AB Discovery Value Fund Class A,21.39,2.7871,0.58,0.0,21.39,22.51,0.0,2483118063.0,19.8666,,20.2376,0.0,0.0,,20.81,,,116087801.0
ABAT,American Battery Technology Company Common Stock,4.66,11.2172,0.47,4.19,4.68,21.75,3.33,222547154.0,5.0404,,9.818215,1177117.0,344422.0,4.19,4.19,-0.63,2024-02-12T00:00:00.000+0000,47756900.0
ABAX,"Abaxis, Inc.",,,,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,0.0,0.0,,,,2018-03-31T00:00:00.000+0000,0.0
ABCB,Ameris Bancorp,52.56,4.9102,2.46,51.47,53.345,53.345,28.33,3629378166.0,40.8556,,37.96625,470597.0,374044.0,51.47,50.1,12.76,2024-01-24T00:00:00.000+0000,69052096.0
ABCD,"Cambium Learning Group, Inc.",,,,0.0,0.0,0.0,0.0,0.0,0.0,51.47,0.0,0.0,0.0,,,,2018-09-30T00:00:00.000+0000,0.0
ABCL,AbCellera Biologics Inc.,5.48,8.7302,0.44,5.16,5.5179,11.375,3.87,1590131600.0,4.4241,,6.064725,3274323.0,1599352.0,5.17,5.04,-12.45,2024-02-19T00:00:00.000+0000,290170000.0
ABCM,Abcam plc,23.99,0.0,0.0,23.99,23.99,25.32,12.48,5521322682.0,23.3358,5.17,20.42765,7430229.0,5395757.0,23.99,23.99,2399.0,2023-08-31T04:00:00.000+0000,230151008.0
